ISO3,Year,Health_Expenditure,Education_Expenditure,Dependency_Ratio,Dependency_Ratio_Old,Dependency_Ratio_Young,Life_Expectancy,Mortality_Rate,average_schooling,learning_scores,GDP_percapita,trade_gdp,gov_consumption_gdp,Population,income_level,Region
ARM,2019,11.3798008,2.57191228866577,47.8107543362811,17.8042980623195,30.0064562739616,76.2219512195122,10.7,11.283333,442.96945,4597.22887399548,96.1141541288708,12.5645600985114,2962500.0,Upper middle income,Europe & Central Asia
ARM,2018,10.00543404,2.25586795806885,47.4127303230816,17.2645182175621,30.1482121055195,75.619512195122,11.2,11.236667,442.96945,4196.00562301769,92.473107021212,11.4866903221706,2969000.0,Upper middle income,Europe & Central Asia
ARM,2017,10.36270332,2.70759010314941,46.8188831337656,16.7625534481544,30.0563296856113,75.2170731707317,11.7,11.19,443.0,3869.05373867752,87.202376539837,12.3185519874739,2979400.0,Upper middle income,Europe & Central Asia
ARM,2016,9.95194912,2.75812005996704,45.9130890185114,16.2618213310109,29.6512676875004,74.8682926829268,12.2,11.68974,443.0,3524.42476874707,76.0779674593548,13.4541585167703,2992300.0,Upper middle income,Europe & Central Asia
ARM,2015,10.11762714,2.80591011047363,45.0074829961521,15.8403518094083,29.1671311867438,74.8707317073171,12.8,11.57,443.0,3512.39350276709,71.6820743427575,13.1115978061212,3004600.0,Upper middle income,Europe & Central Asia
ARM,2014,10.17827892,2.24724006652832,44.220347328995,15.542233190204,28.6781141387909,74.8731707317073,13.4,11.474999,443.0,3852.11800610384,75.778866962639,12.0858534859076,3013800.0,Upper middle income,Europe & Central Asia
ARM,2013,10.32345009,2.65018010139465,43.5955735295585,15.3767531899183,28.2188203396402,74.6219512195122,14.1,11.38,443.0,3680.16692158886,77.5550481598824,11.9350654316666,3022000.0,Upper middle income,Europe & Central Asia
ARM,2012,9.13455009,2.77248001098633,43.1066653605776,15.2554042984527,27.8512610621249,74.119512195122,14.8,11.285,443.0,3511.56399687426,75.9616759606704,10.9099638916146,3024100.0,Upper middle income,Europe & Central Asia
ARM,2011,9.37588882,3.14385008811951,42.8588952887091,15.2071899840717,27.6517053046373,73.8170731707317,15.6,11.19,443.0,3349.55309771906,69.4355736620453,11.9102932556784,3027900.0,Upper middle income,Europe & Central Asia
ARM,2010,9.23538303,3.24900007247925,42.9172236658305,15.3275061207324,27.5897175450982,73.1731707317073,16.4,11.12,443.0,3041.34450723339,64.642975973633,12.0437077284519,3044800.0,Upper middle income,Europe & Central Asia
ARM,2009,8.44377708,3.84079003334045,43.2941291937252,15.6399045640536,27.6542246296716,73.0731707317073,17.2,11.049999,443.0,2820.5926553347,57.2742357441995,12.2837259772012,3066000.0,Upper middle income,Europe & Central Asia
ARM,2008,6.63976622,3.17272996902466,44.0261431322025,16.0632649243199,27.9628782078826,73.0731707317073,18.1,10.98,443.0,3777.66859313767,54.5423279613666,9.39590568718206,3087100.0,Upper middle income,Europe & Central Asia
ARM,2007,5.49814034,3.01893997192383,45.1305540220802,16.4184771795511,28.7120768425291,72.8731707317073,19.1,10.91,443.0,2962.70234594569,56.9750470853147,9.39819198234112,3107400.0,Upper middle income,Europe & Central Asia
ARM,2006,5.85007095,2.71577000617981,46.4862231466127,16.5581288587837,29.928094287829,72.8243902439025,20.1,10.84,443.0,2041.65267068997,61.0301379818566,9.26564058035311,3127100.0,Upper middle income,Europe & Central Asia
ARM,2005,5.8618803,2.71202993392944,47.8193074702708,16.4324533577882,31.3868541124825,73.0756097560976,21.3,10.7699995,443.0,1557.48458908655,70.1397385835334,9.71001179777312,3146400.0,Upper middle income,Europe & Central Asia
ARM,2004,6.05510139,2.48673009872437,48.9919306433595,16.1035943261704,32.8883363171891,73.0268292682927,22.5,10.7,443.0,1130.08791444158,73.0706339919371,9.3562321018201,3164900.0,Upper middle income,Europe & Central Asia
ARM,2003,7.17936182,2.1450400352478,50.0136226039065,15.6446414144128,34.3689811894937,72.8268292682927,23.7,10.63,443.0,882.030167695474,80.0513676022426,9.38479580771821,3182500.0,Upper middle income,Europe & Central Asia
ARM,2002,7.61358786,2.13504004478455,51.0703531395798,15.1157224022065,35.9546307373733,72.8268292682927,25.0,10.559999,443.0,742.651118319819,73.9845018432309,9.16904182303383,3199800.0,Upper middle income,Europe & Central Asia
ARM,2001,4.64563894,2.46943998336792,52.4889483731996,14.5669248346944,37.9220235385051,72.9756097560976,26.4,10.49,443.0,659.588988535629,69.8642663925336,10.3413384803578,3211800.0,Upper middle income,Europe & Central Asia
ARM,2000,4.19581175,2.77273011207581,54.813388611356,14.1601550296688,40.6532335816871,72.8804878048781,27.8,10.4919405,443.0,593.450581742282,72.2333302273367,10.7986680994975,3221100.0,Upper middle income,Europe & Central Asia
AUS,2022,9.92687893,5.20677661895752,54.5847729738097,26.3953997265958,28.1893732472139,83.2,3.2,12.87,515.68536,64997.0136536475,45.8217702307271,22.0784275525044,26014399.0,High income,East Asia & Pacific
AUS,2021,10.42525291,5.33320999145508,54.2558157593525,25.8365969160502,28.4192188433023,83.3,3.2,12.78,515.68536,60607.7788605166,40.3024802691697,22.4227187171293,25685412.0,High income,East Asia & Pacific
AUS,2020,10.66040134,5.37828016281128,53.6061246381616,25.0972747499351,28.5088498882266,83.2,3.2,12.64,515.68536,51791.540179984,44.6644560654359,21.8946914788236,25649248.0,High income,East Asia & Pacific
AUS,2019,10.21285057,5.50858879089355,52.9197584315896,24.383152985158,28.5366054464316,82.9,3.2,12.56,524.26514,54972.7017885437,46.1875018936291,20.3713413159323,25334826.0,High income,East Asia & Pacific
AUS,2018,10.05163097,5.40967607498169,52.4455151692804,23.8439530509551,28.6015621183253,82.7487804878049,3.2,12.46,524.26514,57196.4220783778,43.7360650798433,20.0168291219813,24963258.0,High income,East Asia & Pacific
AUS,2017,10.11242294,5.32125568389893,52.0424214921712,23.3956977573784,28.6467237347927,82.5,3.2,12.32,524.0,53901.7145392154,42.2037316765804,19.9482833661896,24592588.0,High income,East Asia & Pacific
AUS,2016,10.08972931,5.43038558959961,51.6034455745862,22.9691602900349,28.6342852845513,82.4487804878049,3.2,12.35,536.33154,49888.0410842736,40.974079475775,19.9735933226935,24190907.0,High income,East Asia & Pacific
AUS,2015,10.17367649,5.46285820007324,51.0633010294012,22.5076119973565,28.5556890320447,82.4,3.3,12.25,536.33154,56739.0265346593,41.6639319280984,19.1888755144951,23815995.0,High income,East Asia & Pacific
AUS,2014,9.82490253,5.4375524520874,50.4910608998852,22.023452328806,28.4676085710793,82.3,3.4,12.17,536.33154,62544.0873773726,42.4840230270994,18.7777654809849,23475686.0,High income,East Asia & Pacific
AUS,2013,8.74458122,5.5196270942688,49.9243673123919,21.5386207048104,28.3857466075814,82.1487804878049,3.5,12.02,536.33154,68190.7010035651,41.2728790174276,18.853734962801,23128129.0,High income,East Asia & Pacific
AUS,2012,8.66922569,5.55924797058105,49.3289726898378,21.0375343205585,28.2914383692793,82.0463414634146,3.6,12.3,536.33154,68072.8732340801,43.1642964994556,18.8983020353986,22733465.0,High income,East Asia & Pacific
AUS,2011,8.53360462,6.00601577758789,48.7682383229883,20.5282558448571,28.2399824781311,81.8951219512195,3.8,12.12,536.33154,62605.600458306,41.851132029052,18.6655613196208,22340024.0,High income,East Asia & Pacific
AUS,2010,8.41878414,6.15043640136719,48.3638611109409,20.0725746708257,28.2912864401152,81.6951219512195,4.0,12.03,536.33154,52144.6654705468,40.5215889941287,18.8355329435523,22031750.0,High income,East Asia & Pacific
AUS,2009,8.54235363,5.39640665054321,48.1482571709664,19.7257997705892,28.4224574003772,81.5439024390244,4.2,11.99,536.33154,42816.5674002829,45.7408630288694,18.4307470583246,21691653.0,High income,East Asia & Pacific
AUS,2008,8.24737453,4.9018235206604,48.1253903251165,19.5189082391702,28.6064820859462,81.3951219512195,4.4,11.94,536.33154,49701.2817843335,42.8467764017331,18.0939091867019,21249199.0,High income,East Asia & Pacific
AUS,2007,8.0517149,4.96966886520386,48.2183232721235,19.3981662950467,28.8201569770768,81.2926829268293,4.5,11.71,536.33154,41051.6120652288,42.0080200326348,18.1722516420682,20827622.0,High income,East Asia & Pacific
AUS,2006,7.97161102,5.16309022903442,48.3296763998251,19.2717494706077,29.0579269292174,81.0414634146342,4.7,11.64,536.33154,36595.7071548423,41.5594471705758,18.3072975284743,20450966.0,High income,East Asia & Pacific
AUS,2005,7.9648633,5.27187633514404,48.4752997933678,19.1310333967163,29.3442663966515,80.8414634146341,4.8,11.55,536.33154,34479.7679298388,39.1607469727979,18.3815949567882,20176844.0,High income,East Asia & Pacific
AUS,2004,8.08257675,5.19307231903076,48.6497650677502,18.9836966228745,29.6660684448757,80.490243902439,4.8,11.51,536.33154,30836.7306824685,37.0096135930442,18.3022813622208,19932722.0,High income,East Asia & Pacific
AUS,2003,7.87659502,5.24525785446167,48.8445617344122,18.8398708904641,30.0046908439481,80.2390243902439,4.9,11.453874,536.33154,23718.1338501868,40.2015669125448,18.4107243359548,19720737.0,High income,East Asia & Pacific
AUS,2002,7.87221003,5.30569648742676,49.0739278664306,18.7127323974033,30.3611954690273,79.9365853658537,4.9,11.397747,536.33154,20301.8431713256,41.4490922022193,18.3484346536303,19495210.0,High income,East Asia & Pacific
AUS,2001,7.67391729,5.22261571884155,49.286835461901,18.5772011959242,30.7096342659768,79.6341463414634,5.0,11.3416195,536.33154,19695.7297379144,44.2187044989977,18.5426391217441,19274701.0,High income,East Asia & Pacific
AUS,2000,7.58869076,4.75933980941772,49.4598371499961,18.4404914467146,31.0193457032815,79.2341463414634,5.1,11.285493,536.33154,21870.4159669594,40.9352109785505,18.5380745283503,19028802.0,High income,East Asia & Pacific
BGD,2022,2.39038587,1.71183669567108,53.6222137721463,9.42496463313091,44.1972491390154,74.265,24.4,6.79,368.31528,2716.48592677835,33.7799672705735,5.69899955596024,169384897.0,Lower middle income,South Asia
BGD,2021,2.36551309,1.83117997646332,53.9605921368888,9.19731840432484,44.763273732564,71.103,24.5,6.79,368.31528,2482.84917843357,27.7240047036631,5.88274868783073,167658854.0,Lower middle income,South Asia
BGD,2020,2.27063942,1.76528060436249,54.0679893713504,8.99007678263529,45.0779125887151,71.421,24.9,7.1,368.31528,2248.85078828233,26.271447376215,5.97120729189186,166298024.0,Lower middle income,South Asia
BGD,2019,2.25762248,1.68138802051544,54.1751879343991,8.73026000966038,45.4449279247387,72.625,25.4,6.55,368.31528,2129.79896954606,31.5780544912404,6.2381894055709,164913055.0,Lower middle income,South Asia
BGD,2018,2.31622243,1.65589129924774,54.3273751721014,8.42340995776793,45.9039652143335,72.122,26.3,6.39,368.31528,1965.24372731467,32.5146317240884,5.95916693091491,163523103.0,Lower middle income,South Asia
BGD,2017,2.36720181,1.85040032863617,54.6436395397794,8.13253782885509,46.5111017109243,71.606,27.4,6.27,368.0,1811.08221668646,29.9997306724343,6.02233215987973,162186147.0,Lower middle income,South Asia
BGD,2016,2.38938212,2.22119998931885,55.3718768318608,7.88083150095721,47.4910453309036,71.075,28.6,6.11,368.0,1649.28380858601,31.3341501346142,5.86529831496558,160811932.0,Lower middle income,South Asia
BGD,2015,2.27217698,1.87225413322449,56.4576539922494,7.67049516937057,48.7871588228788,70.543,30.0,5.99,368.0,1224.38647668165,42.0859963070382,5.40424038147983,159383179.0,Lower middle income,South Asia
BGD,2014,2.27915168,2.09871673583984,57.6363999788042,7.49808224678947,50.1383177320147,70.016,31.4,5.19,368.0,1094.46199702838,44.5140801968096,5.33752075651661,157964929.0,Lower middle income,South Asia
BGD,2013,2.29574466,1.96616005897522,58.8576060722821,7.35009257974433,51.5075134925378,69.487,32.7,5.06,368.0,958.262989798283,46.2964027228174,5.11613164192944,156532141.0,Lower middle income,South Asia
BGD,2012,2.3537879,2.04667067527771,60.0398362395264,7.18427722271008,52.8555590168163,68.989,34.1,5.3,368.0,859.680536375497,48.1109227490467,5.03934251857421,155070101.0,Lower middle income,South Asia
BGD,2011,2.36418128,2.13269996643066,61.0979549461299,6.9977307992859,54.1002241468439,68.499,35.4,5.2,368.0,837.336944695647,47.4208498356898,5.0974466876342,153591076.0,Lower middle income,South Asia
BGD,2010,2.28807664,1.9394199848175,61.9686828582303,6.81767435451691,55.1510085037134,68.009,36.9,5.12,368.0,757.385280361508,37.8028426708321,5.07532583559895,152201981.0,Lower middle income,South Asia
BGD,2009,2.18321705,1.9394199848175,62.7031938906288,6.65505567963701,56.0481382109918,67.527,38.4,5.04,368.0,679.211477428056,40.092796223023,5.09374516609514,150873714.0,Lower middle income,South Asia
BGD,2008,2.11878848,2.0545699596405,63.3356883947747,6.50584958273277,56.829838812042,67.047,40.1,4.96,368.0,613.06204104124,42.6209140325589,5.17827687820651,149474264.0,Lower middle income,South Asia
BGD,2007,2.17268491,2.20221996307373,63.9122837398699,6.3719037093988,57.5403800304711,66.458,41.9,4.88,368.0,537.955492792911,39.9423826531735,5.35945621469055,147989278.0,Lower middle income,South Asia
BGD,2006,2.10646582,2.13128995895386,64.524039740509,6.25483192391766,58.2692078165913,66.048,43.9,4.7999997,368.0,490.388026533289,38.1119244325921,5.44007855680545,146405973.0,Lower middle income,South Asia
BGD,2005,2.05873919,1.94014000892639,65.1910648619481,6.15323814564069,59.0378267163075,65.509,46.0,4.72,368.0,480.08585075452,34.396934864465,5.18022516467283,144715786.0,Lower middle income,South Asia
BGD,2004,1.99854314,1.94014000892639,65.873127608104,6.06403552107259,59.8090920870314,64.912,48.4,4.64,368.0,455.614016909798,26.8582341492431,5.17438311061483,142902856.0,Lower middle income,South Asia
BGD,2003,1.96152198,2.06939005851746,66.5127410987043,5.98364295448218,60.5290981442221,64.288,50.9,4.56,368.0,426.74880754362,27.657884900158,5.12829861719188,140970351.0,Lower middle income,South Asia
BGD,2002,1.93417108,2.01714992523193,67.1451832030454,5.91576715658698,61.2294160464584,63.591,53.6,4.48,368.0,393.886422327628,28.9673807211649,5.02264856478482,138933658.0,Lower middle income,South Asia
BGD,2001,1.77201855,2.17193007469177,67.829792240324,5.86789252454913,61.9618997157749,62.836,56.6,4.4,368.0,394.65641001891,32.0980170730117,4.84565983723317,136805810.0,Lower middle income,South Asia
BGD,2000,1.80504513,2.12508010864258,68.8735107703625,5.84539079116541,63.0281199791971,62.049,59.8,4.283905,368.0,396.670730249751,29.3217143619038,4.97312138319291,134544304.0,Lower middle income,South Asia
BRA,2022,9.14277458,5.4969801902771,43.7902629940777,14.7410682664371,29.0491947276406,74.872,12.6,8.425372,413.24475,9281.33334441234,38.8160659763397,18.4022127200534,210306415.0,Upper middle income,Latin America & Caribbean
BRA,2021,9.63646507,5.4969801902771,43.6404698393342,14.2363505448809,29.4041192944533,73.038,12.7,8.425372,413.24475,7972.53665048385,37.6563307568833,18.5475883591271,209550294.0,Upper middle income,Latin America & Caribbean
BRA,2020,9.62326527,5.77150011062622,43.586067027448,13.7823454162982,29.8037216111497,74.506,12.8,8.274219,413.24475,7074.19378281866,32.3020785463409,20.1351530166446,208660842.0,Upper middle income,Latin America & Caribbean
BRA,2019,9.61449146,5.96346998214722,43.5397483001089,13.3105476119749,30.2292006881341,75.809,13.0,8.125778,408.0994,9029.83326742175,28.8902578679414,19.9835812858102,207455459.0,Upper middle income,Latin America & Caribbean
BRA,2018,9.46475029,6.08851003646851,43.4316522323209,12.8053633893132,30.6262888430077,75.633,13.1,7.98,408.0994,9300.66164936497,28.8762033759743,19.89508778307,206107261.0,Upper middle income,Latin America & Caribbean
BRA,2017,9.47125053,6.32047986984253,43.3713300884192,12.3179673512207,31.0533627371985,75.383,13.3,7.85,408.0,10080.5092817775,24.3197343746749,20.1619046966819,204703445.0,Upper middle income,Latin America & Caribbean
BRA,2016,9.16901684,6.314040184021,43.4398109123601,11.8604268136993,31.5793840986607,75.081,14.6,7.73,414.28217,8836.28652636996,24.5336820804399,20.3792974286877,203218114.0,Upper middle income,Latin America & Caribbean
BRA,2015,8.90929985,6.24105978012085,43.5935934449924,11.4254652033893,32.168128241603,75.106,13.7,7.51,414.28217,8936.19661756825,26.9536259360114,19.776819955412,201675532.0,Upper middle income,Latin America & Caribbean
BRA,2014,8.39644146,5.94848012924194,43.8183703322034,11.0072481437228,32.8111221884806,74.823,14.0,7.38,414.28217,12274.9939689363,24.6854058131291,19.1535387102127,200085127.0,Upper middle income,Latin America & Caribbean
BRA,2013,7.9766016,5.8388500213623,44.1751173479507,10.6261168301056,33.549000517845,74.609,14.4,7.29,414.28217,12458.891214816,25.7859573255328,18.8924789937165,198478299.0,Upper middle income,Latin America & Caribbean
BRA,2012,7.73637724,5.85510015487671,44.6429009356262,10.2910049602004,34.3518959754257,74.335,14.8,7.22,414.28217,12521.7213530369,25.1142736086534,18.5301032637141,196876111.0,Upper middle income,Latin America & Caribbean
BRA,2011,7.78819132,5.73741006851196,45.1609994407706,9.989980432061,35.1710190087095,74.047,15.3,7.01,414.28217,13396.6243566047,23.9344051753252,18.6692569364374,195284734.0,Upper middle income,Latin America & Caribbean
BRA,2010,7.94516611,5.64879989624023,45.7187256688073,9.71490148180701,36.0038241870003,73.779,16.0,6.88,414.28217,11403.2821284616,22.7721781120049,19.0168578356276,193701929.0,Upper middle income,Latin America & Caribbean
BRA,2009,8.39480495,5.46355009078979,46.3061674570182,9.45760463136831,36.8485628256499,73.457,16.7,6.77,414.28217,8678.65922498836,22.1059756047068,19.6506384012198,192079951.0,Upper middle income,Latin America & Caribbean
BRA,2008,8.01128483,5.26883983612061,46.9295922668047,9.21870099294769,37.710891273857,73.111,17.6,6.67,414.28217,8908.33176567294,27.2575694164795,18.8393928725691,190367302.0,Upper middle income,Latin America & Caribbean
BRA,2007,8.20182991,4.97425985336304,47.5826124507755,8.99752728002274,38.5850851707527,72.73,18.6,6.5,414.28217,7409.69130727951,25.2926113736798,18.9429876148938,188552320.0,Upper middle income,Latin America & Caribbean
BRA,2006,8.24952507,4.87060022354126,48.2684711339596,8.79236542167364,39.476105712286,72.296,19.7,6.32,414.28217,5934.1447107274,26.0416998853051,19.0389169408502,186653106.0,Upper middle income,Latin America & Caribbean
BRA,2005,8.03539562,4.47908020019531,49.0129699418087,8.60565567522607,40.4073142665826,71.832,21.0,6.15,414.28217,4827.78173052472,27.0867952055794,18.8900014193292,184688101.0,Upper middle income,Latin America & Caribbean
BRA,2004,8.12491989,3.97447991371155,49.832060271032,8.43526156880175,41.3967987022302,71.361,22.4,5.98,414.28217,3663.823188064,29.6782524787535,18.4675839197143,182675143.0,Upper middle income,Latin America & Caribbean
BRA,2003,8.18899441,3.75037002563477,50.7500013938033,8.28186916269744,42.4681322311059,70.884,23.9,5.803045,414.28217,3090.6070097455,28.1403847231593,19.0774784933715,180622688.0,Upper middle income,Latin America & Caribbean
BRA,2002,8.69686985,3.75037002563477,51.7532497132855,8.15002932903742,43.6032203842481,70.396,25.5,5.626089,414.28217,2855.94018885769,27.6183574022309,19.8096623456372,178503484.0,Upper middle income,Latin America & Caribbean
BRA,2001,8.54963303,3.84468007087708,52.8183017276819,8.03501787966254,44.7832838480193,69.98,27.3,5.449134,414.28217,3176.28935747524,26.936285022064,19.3432950140464,176301203.0,Upper middle income,Latin America & Caribbean
BRA,2000,8.33457184,3.94893002510071,53.9320341342569,7.93220434397092,45.999829790286,69.584,29.1,5.272178,414.28217,3766.54811466032,22.6397613567941,18.7678457444131,174018282.0,Upper middle income,Latin America & Caribbean
CAN,2022,11.23432541,4.13957166671753,52.6453145943791,28.912163269063,23.7331513253161,81.2453658536585,4.5,13.87,533.998,55509.393176404,67.5588963664949,20.6916886249511,38939056.0,High income,North America
CAN,2021,12.41920948,4.74860000610352,52.0342485398259,28.0993647538034,23.9348837860225,81.5168292682927,4.5,13.87,533.998,52496.8441693242,62.4241644131018,21.4423371444304,38239864.0,High income,North America
CAN,2020,13.02419472,4.88794994354248,51.1983504754589,27.1936414105089,24.00470906495,81.5351219512195,4.5,13.842,533.998,43537.839298904,61.1567709632763,22.7011077555498,38028638.0,High income,North America
CAN,2019,11.05897045,4.77293014526367,50.4105729188803,26.3697715591015,24.0408013597788,82.1636585365854,4.5,13.814,536.7555,46352.8693445211,66.1714852804959,20.6634960880685,37618495.0,High income,North America
CAN,2018,10.94313335,4.8889799118042,49.733479510056,25.64886923064,24.084610279416,81.8087804878049,4.5,13.785999,536.7555,46539.1761570405,66.5998858508762,20.6814326967462,37072620.0,High income,North America
CAN,2017,10.93421078,4.95996999740601,49.0981143135691,24.9861815767739,24.1119327367952,81.8129268292683,4.6,13.757999,537.0,45129.628116623,65.1010608504649,20.7033313853187,36545075.0,High income,North America
CAN,2016,11.06097317,4.81642007827759,48.3895082605836,24.3182237048516,24.071284555732,81.94,4.6,13.73,544.3091,42314.0615817218,65.3636845215556,21.0480401948524,36110803.0,High income,North America
CAN,2015,10.76850224,4.7393798828125,47.58596316024,23.628805646746,23.9571575134939,81.8258536585366,4.7,13.696,544.3091,43594.1941045394,66.1649020669781,20.8778251262785,35704498.0,High income,North America
CAN,2014,10.28526115,4.84358978271484,46.7656650331144,22.9295596532934,23.836105379821,81.7843902439025,4.7,13.662,544.3091,50960.8431174661,64.3786621564923,20.266560128167,35434066.0,High income,North America
CAN,2013,10.43964291,4.5890097618103,45.9856719197967,22.2317032546435,23.7539686651532,81.7448780487805,4.8,13.628,544.3091,52638.1187235237,62.2310749013405,20.7043347111761,35080992.0,High income,North America
CAN,2012,10.54460621,4.69258737564087,45.2394993555654,21.5255099255067,23.7139894300587,81.6636585365854,4.8,13.594,544.3091,52670.3447335415,62.5955489395005,21.0578451788387,34713395.0,High income,North America
CAN,2011,10.40832329,5.26205015182495,44.6166392924826,20.8677195198989,23.7489197725837,81.4826829268293,4.9,13.56,544.3091,52223.8588398531,62.4987387708328,21.1458668604215,34339221.0,High income,North America
