Country,ISO3,Year,Education_perGDP
Australia,AUS,2014,5.16477
Australia,AUS,2015,5.31127
Australia,AUS,2016,5.27678
Australia,AUS,2017,5.12425
Australia,AUS,2018,
Australia,AUS,2019,
Australia,AUS,2020,
Bangladesh,BGD,2000,2.12508
Bangladesh,BGD,2001,2.17193
Bangladesh,BGD,2002,2.01715
Bangladesh,BGD,2003,2.06939
Bangladesh,BGD,2004,1.94014
Bangladesh,BGD,2005,
Bangladesh,BGD,2006,2.13129
Bangladesh,BGD,2007,2.20222
Bangladesh,BGD,2008,2.05457
Bangladesh,BGD,2009,1.93942
Bangladesh,BGD,2010,
Bangladesh,BGD,2011,2.1327
Bangladesh,BGD,2012,2.1755
Bangladesh,BGD,2013,1.96616
Bangladesh,BGD,2014,
Bangladesh,BGD,2015,
Bangladesh,BGD,2016,1.53554
Bangladesh,BGD,2017,
Bangladesh,BGD,2018,
Bangladesh,BGD,2019,1.32632
Bangladesh,BGD,2020,
Bolivia,BOL,2000,
Bolivia,BOL,2001,
Bolivia,BOL,2002,
Bolivia,BOL,2003,
Bolivia,BOL,2004,
Bolivia,BOL,2005,
Bolivia,BOL,2006,
Bolivia,BOL,2007,
Bolivia,BOL,2008,
Bolivia,BOL,2009,
Bolivia,BOL,2010,
Bolivia,BOL,2011,
Bolivia,BOL,2012,
Bolivia,BOL,2013,
Bolivia,BOL,2014,
Bolivia,BOL,2015,
Bolivia,BOL,2016,
Bolivia,BOL,2017,
Bolivia,BOL,2018,
Bolivia,BOL,2019,
Bolivia,BOL,2020,
Brazil,BRA,2000,3.94893
Brazil,BRA,2001,3.84468
Brazil,BRA,2002,3.75037
Brazil,BRA,2003,
Brazil,BRA,2004,3.97448
Brazil,BRA,2005,4.47908
Brazil,BRA,2006,4.8706
Brazil,BRA,2007,4.97426
Brazil,BRA,2008,5.26884
Brazil,BRA,2009,5.46355
Brazil,BRA,2010,5.6488
Brazil,BRA,2011,5.73741
Brazil,BRA,2012,5.8551
Brazil,BRA,2013,5.83885
Brazil,BRA,2014,5.94848
Brazil,BRA,2015,6.24106
Brazil,BRA,2016,6.31404
Brazil,BRA,2017,6.32255
Brazil,BRA,2018,
Brazil,BRA,2019,
Brazil,BRA,2020,
Canada,CAN,2000,5.442
Canada,CAN,2001,4.96956
Canada,CAN,2002,5.01073
Canada,CAN,2003,
Canada,CAN,2004,
Canada,CAN,2005,4.78215
Canada,CAN,2006,
Canada,CAN,2007,4.78036
Canada,CAN,2008,4.63826
Canada,CAN,2009,4.85264
Canada,CAN,2010,5.36993
Canada,CAN,2011,5.27444
Canada,CAN,2012,
Canada,CAN,2013,
Canada,CAN,2014,
Canada,CAN,2015,
Canada,CAN,2016,
Canada,CAN,2017,
Canada,CAN,2018,
Canada,CAN,2019,
Canada,CAN,2020,
Chile,CHL,2000,3.77583
Chile,CHL,2001,
Chile,CHL,2002,4.08121
Chile,CHL,2003,3.96346
Chile,CHL,2004,3.53839
Chile,CHL,2005,3.26283
Chile,CHL,2006,3.02153
Chile,CHL,2007,3.21379
Chile,CHL,2008,3.79243
Chile,CHL,2009,4.23065
Chile,CHL,2010,4.16209
Chile,CHL,2011,4.04519
Chile,CHL,2012,
Chile,CHL,2013,4.52943
Chile,CHL,2014,4.73095
Chile,CHL,2015,4.87531
Chile,CHL,2016,5.34201
Chile,CHL,2017,5.41946
Chile,CHL,2018,
Chile,CHL,2019,
Chile,CHL,2020,
China,CHN,2000,
China,CHN,2001,
China,CHN,2002,
China,CHN,2003,
China,CHN,2004,
China,CHN,2005,
China,CHN,2006,
China,CHN,2007,
China,CHN,2008,
China,CHN,2009,
China,CHN,2010,
China,CHN,2011,
China,CHN,2012,
China,CHN,2013,
China,CHN,2014,
China,CHN,2015,
China,CHN,2016,
China,CHN,2017,
China,CHN,2018,
China,CHN,2019,
China,CHN,2020,
Colombia,COL,2000,3.51121
Colombia,COL,2001,3.70868
Colombia,COL,2002,4.26813
Colombia,COL,2003,4.32514
Colombia,COL,2004,4.07935
Colombia,COL,2005,4.02099
Colombia,COL,2006,3.91672
Colombia,COL,2007,4.08301
Colombia,COL,2008,3.93878
Colombia,COL,2009,4.77652
Colombia,COL,2010,4.83383
Colombia,COL,2011,4.46608
Colombia,COL,2012,4.37039
Colombia,COL,2013,4.87855
Colombia,COL,2014,4.62946
Colombia,COL,2015,4.47039
Colombia,COL,2016,4.47721
Colombia,COL,2017,4.53551
Colombia,COL,2018,4.45749
Colombia,COL,2019,
Colombia,COL,2020,
Cyprus,CYP,2000,4.98954
Cyprus,CYP,2001,5.11552
Cyprus,CYP,2002,5.58167
Cyprus,CYP,2003,6.67023
Cyprus,CYP,2004,6.11772
Cyprus,CYP,2005,6.28667
Cyprus,CYP,2006,6.33027
Cyprus,CYP,2007,6.28083
Cyprus,CYP,2008,6.72276
Cyprus,CYP,2009,7.20545
Cyprus,CYP,2010,6.5428
Cyprus,CYP,2011,6.53854
Cyprus,CYP,2012,
Cyprus,CYP,2013,6.48378
Cyprus,CYP,2014,6.4485
Cyprus,CYP,2015,6.34636
Cyprus,CYP,2016,6.1638
Cyprus,CYP,2017,5.77719
Cyprus,CYP,2018,
Cyprus,CYP,2019,
Cyprus,CYP,2020,
Czechia,CZE,2000,3.65089
Czechia,CZE,2001,3.74855
Czechia,CZE,2002,3.97256
Czechia,CZE,2003,4.13643
Czechia,CZE,2004,4.01424
Czechia,CZE,2005,3.89038
Czechia,CZE,2006,4.2171
Czechia,CZE,2007,3.86663
Czechia,CZE,2008,3.74455
Czechia,CZE,2009,4.17128
Czechia,CZE,2010,4.06446
Czechia,CZE,2011,4.27214
Czechia,CZE,2012,4.25086
Czechia,CZE,2013,4.09089
Czechia,CZE,2014,3.99462
Czechia,CZE,2015,5.78885
Czechia,CZE,2016,5.58738
Czechia,CZE,2017,3.85402
Czechia,CZE,2018,
Czechia,CZE,2019,
Czechia,CZE,2020,
Ecuador,ECU,2000,1.15093
Ecuador,ECU,2001,
Ecuador,ECU,2002,
Ecuador,ECU,2003,
Ecuador,ECU,2004,
Ecuador,ECU,2005,
Ecuador,ECU,2006,
Ecuador,ECU,2007,
Ecuador,ECU,2008,
Ecuador,ECU,2009,4.34242
Ecuador,ECU,2010,4.50743
Ecuador,ECU,2011,4.72689
Ecuador,ECU,2012,4.64307
Ecuador,ECU,2013,5.00464
Ecuador,ECU,2014,5.26099
Ecuador,ECU,2015,4.9987
Ecuador,ECU,2016,
Ecuador,ECU,2017,
Ecuador,ECU,2018,
Ecuador,ECU,2019,
Ecuador,ECU,2020,
"Egypt, Arab Rep.",EGY,2000,
"Egypt, Arab Rep.",EGY,2001,
"Egypt, Arab Rep.",EGY,2002,
"Egypt, Arab Rep.",EGY,2003,4.94563
"Egypt, Arab Rep.",EGY,2004,4.67072
"Egypt, Arab Rep.",EGY,2005,4.79443
"Egypt, Arab Rep.",EGY,2006,4.00178
"Egypt, Arab Rep.",EGY,2007,3.68461
"Egypt, Arab Rep.",EGY,2008,3.76083
"Egypt, Arab Rep.",EGY,2009,
"Egypt, Arab Rep.",EGY,2010,
"Egypt, Arab Rep.",EGY,2011,
"Egypt, Arab Rep.",EGY,2012,
"Egypt, Arab Rep.",EGY,2013,
"Egypt, Arab Rep.",EGY,2014,
"Egypt, Arab Rep.",EGY,2015,
"Egypt, Arab Rep.",EGY,2016,
"Egypt, Arab Rep.",EGY,2017,
"Egypt, Arab Rep.",EGY,2018,
"Egypt, Arab Rep.",EGY,2019,
"Egypt, Arab Rep.",EGY,2020,
Ethiopia,ETH,2000,3.98311
Ethiopia,ETH,2001,3.70029
Ethiopia,ETH,2002,3.63245
Ethiopia,ETH,2003,
Ethiopia,ETH,2004,
Ethiopia,ETH,2005,
Ethiopia,ETH,2006,5.49096
Ethiopia,ETH,2007,5.45113
Ethiopia,ETH,2008,5.4082
Ethiopia,ETH,2009,4.42207
Ethiopia,ETH,2010,4.49659
Ethiopia,ETH,2011,5.48576
Ethiopia,ETH,2012,5.56678
Ethiopia,ETH,2013,4.49855
Ethiopia,ETH,2014,4.60202
Ethiopia,ETH,2015,4.73792
Ethiopia,ETH,2016,
Ethiopia,ETH,2017,
Ethiopia,ETH,2018,
Ethiopia,ETH,2019,
Ethiopia,ETH,2020,
Germany,DEU,2000,
Germany,DEU,2001,
Germany,DEU,2002,
Germany,DEU,2003,
Germany,DEU,2004,
Germany,DEU,2005,
Germany,DEU,2006,4.29396
Germany,DEU,2007,4.3668
Germany,DEU,2008,4.43595
Germany,DEU,2009,4.90951
Germany,DEU,2010,4.94368
Germany,DEU,2011,4.82487
Germany,DEU,2012,4.95658
Germany,DEU,2013,4.96111
Germany,DEU,2014,4.93962
Germany,DEU,2015,4.83498
Germany,DEU,2016,4.84022
Germany,DEU,2017,4.90512
Germany,DEU,2018,
Germany,DEU,2019,
Germany,DEU,2020,
Greece,GRC,2000,3.23019
Greece,GRC,2001,3.36458
Greece,GRC,2002,3.42431
Greece,GRC,2003,3.42934
Greece,GRC,2004,3.66719
Greece,GRC,2005,3.96396
Greece,GRC,2006,
Greece,GRC,2007,
Greece,GRC,2008,
Greece,GRC,2009,
Greece,GRC,2010,
Greece,GRC,2011,
Greece,GRC,2012,
Greece,GRC,2013,
Greece,GRC,2014,
Greece,GRC,2015,
Greece,GRC,2016,
Greece,GRC,2017,
Greece,GRC,2018,
Greece,GRC,2019,
Greece,GRC,2020,
Guatemala,GTM,2000,
Guatemala,GTM,2001,
Guatemala,GTM,2002,
Guatemala,GTM,2003,
Guatemala,GTM,2004,
Guatemala,GTM,2005,
Guatemala,GTM,2006,2.98401
Guatemala,GTM,2007,3.03874
Guatemala,GTM,2008,3.18454
Guatemala,GTM,2009,
Guatemala,GTM,2010,2.80306
Guatemala,GTM,2011,2.92014
Guatemala,GTM,2012,2.95786
Guatemala,GTM,2013,2.88809
Guatemala,GTM,2014,2.98562
Guatemala,GTM,2015,3.03033
Guatemala,GTM,2016,2.94474
Guatemala,GTM,2017,2.95182
Guatemala,GTM,2018,3.14093
Guatemala,GTM,2019,3.2122
Guatemala,GTM,2020,
"Hong Kong SAR, China",HKG,2000,
"Hong Kong SAR, China",HKG,2001,3.9037
"Hong Kong SAR, China",HKG,2002,4.01554
"Hong Kong SAR, China",HKG,2003,4.2853
"Hong Kong SAR, China",HKG,2004,4.55896
"Hong Kong SAR, China",HKG,2005,4.13463
"Hong Kong SAR, China",HKG,2006,3.84279
"Hong Kong SAR, China",HKG,2007,3.45455
"Hong Kong SAR, China",HKG,2008,3.26063
"Hong Kong SAR, China",HKG,2009,4.39213
"Hong Kong SAR, China",HKG,2010,3.51003
"Hong Kong SAR, China",HKG,2011,3.41822
"Hong Kong SAR, China",HKG,2012,3.50961
"Hong Kong SAR, China",HKG,2013,3.76032
"Hong Kong SAR, China",HKG,2014,3.57255
"Hong Kong SAR, China",HKG,2015,3.26212
"Hong Kong SAR, China",HKG,2016,3.29265
"Hong Kong SAR, China",HKG,2017,3.3101
"Hong Kong SAR, China",HKG,2018,3.32652
"Hong Kong SAR, China",HKG,2019,3.81058
"Hong Kong SAR, China",HKG,2020,
India,IND,2000,4.32479
India,IND,2001,
India,IND,2002,
India,IND,2003,3.61341
India,IND,2004,3.35254
India,IND,2005,3.18875
India,IND,2006,3.14285
India,IND,2007,
India,IND,2008,
India,IND,2009,3.27825
India,IND,2010,3.37769
India,IND,2011,3.79618
India,IND,2012,3.8675
India,IND,2013,3.84467
India,IND,2014,
India,IND,2015,
India,IND,2016,
India,IND,2017,
India,IND,2018,
India,IND,2019,
India,IND,2020,
Indonesia,IDN,2000,
Indonesia,IDN,2001,2.46003
Indonesia,IDN,2002,2.64569
Indonesia,IDN,2003,3.218
Indonesia,IDN,2004,2.74847
Indonesia,IDN,2005,2.87282
Indonesia,IDN,2006,
Indonesia,IDN,2007,3.04425
Indonesia,IDN,2008,2.9019
Indonesia,IDN,2009,3.52513
Indonesia,IDN,2010,2.81228
Indonesia,IDN,2011,3.18944
Indonesia,IDN,2012,3.40748
Indonesia,IDN,2013,3.35904
Indonesia,IDN,2014,3.28801
Indonesia,IDN,2015,3.5836
Indonesia,IDN,2016,
Indonesia,IDN,2017,
Indonesia,IDN,2018,
Indonesia,IDN,2019,
Indonesia,IDN,2020,
"Iran, Islamic Rep.",IRN,2000,4.03064
"Iran, Islamic Rep.",IRN,2001,4.07168
"Iran, Islamic Rep.",IRN,2002,4.48488
"Iran, Islamic Rep.",IRN,2003,4.36322
"Iran, Islamic Rep.",IRN,2004,4.29663
"Iran, Islamic Rep.",IRN,2005,4.05651
"Iran, Islamic Rep.",IRN,2006,4.28999
"Iran, Islamic Rep.",IRN,2007,4.59681
"Iran, Islamic Rep.",IRN,2008,3.91376
"Iran, Islamic Rep.",IRN,2009,3.84245
"Iran, Islamic Rep.",IRN,2010,3.70918
"Iran, Islamic Rep.",IRN,2011,3.48497
"Iran, Islamic Rep.",IRN,2012,3.16859
"Iran, Islamic Rep.",IRN,2013,3.06795
"Iran, Islamic Rep.",IRN,2014,2.80135
"Iran, Islamic Rep.",IRN,2015,2.79739
"Iran, Islamic Rep.",IRN,2016,3.36576
"Iran, Islamic Rep.",IRN,2017,3.7904
"Iran, Islamic Rep.",IRN,2018,3.95536
"Iran, Islamic Rep.",IRN,2019,
"Iran, Islamic Rep.",IRN,2020,
Iraq,IRQ,2000,
Iraq,IRQ,2001,
Iraq,IRQ,2002,
Iraq,IRQ,2003,
Iraq,IRQ,2004,
Iraq,IRQ,2005,
Iraq,IRQ,2006,
Iraq,IRQ,2007,
Iraq,IRQ,2008,
Iraq,IRQ,2009,
Iraq,IRQ,2010,
Iraq,IRQ,2011,
Iraq,IRQ,2012,
Iraq,IRQ,2013,
Iraq,IRQ,2014,
Iraq,IRQ,2015,
Iraq,IRQ,2016,
Iraq,IRQ,2017,
Iraq,IRQ,2018,
Iraq,IRQ,2019,
Iraq,IRQ,2020,
Ireland,IRL,2000,4.13664
Ireland,IRL,2001,4.09187
Ireland,IRL,2002,4.10604
Ireland,IRL,2003,4.20554
Ireland,IRL,2004,4.4863
Ireland,IRL,2005,4.52216
Ireland,IRL,2006,4.54551
Ireland,IRL,2007,4.71224
Ireland,IRL,2008,5.44415
Ireland,IRL,2009,6.13509
Ireland,IRL,2010,6.03804
Ireland,IRL,2011,5.85826
Ireland,IRL,2012,5.76573
Ireland,IRL,2013,5.33461
Ireland,IRL,2014,4.88139
Ireland,IRL,2015,3.75829
Ireland,IRL,2016,3.71973
Ireland,IRL,2017,3.50686
Ireland,IRL,2018,
Ireland,IRL,2019,
Ireland,IRL,2020,
Japan,JPN,2000,3.51617
Japan,JPN,2001,3.45707
Japan,JPN,2002,3.46537
Japan,JPN,2003,3.52369
Japan,JPN,2004,3.48307
Japan,JPN,2005,3.36862
Japan,JPN,2006,3.32909
Japan,JPN,2007,3.33094
Japan,JPN,2008,3.31915
Japan,JPN,2009,
Japan,JPN,2010,3.6395
Japan,JPN,2011,3.64258
Japan,JPN,2012,3.69226
Japan,JPN,2013,3.66538
Japan,JPN,2014,3.59059
Japan,JPN,2015,
Japan,JPN,2016,3.18618
Japan,JPN,2017,3.18218
Japan,JPN,2018,
Japan,JPN,2019,
Japan,JPN,2020,
Jordan,JOR,2000,
Jordan,JOR,2001,
Jordan,JOR,2002,
Jordan,JOR,2003,
Jordan,JOR,2004,
Jordan,JOR,2005,
Jordan,JOR,2006,
Jordan,JOR,2007,
Jordan,JOR,2008,
Jordan,JOR,2009,
Jordan,JOR,2010,
Jordan,JOR,2011,
Jordan,JOR,2012,
Jordan,JOR,2013,
Jordan,JOR,2014,
Jordan,JOR,2015,
Jordan,JOR,2016,3.51412
Jordan,JOR,2017,3.28405
Jordan,JOR,2018,3.03435
Jordan,JOR,2019,3.07253
Jordan,JOR,2020,
Kazakhstan,KAZ,2000,3.25662
Kazakhstan,KAZ,2001,
Kazakhstan,KAZ,2002,3.0297
Kazakhstan,KAZ,2003,
Kazakhstan,KAZ,2004,2.25591
Kazakhstan,KAZ,2005,2.26353
Kazakhstan,KAZ,2006,2.62678
Kazakhstan,KAZ,2007,2.83139
Kazakhstan,KAZ,2008,2.58946
Kazakhstan,KAZ,2009,3.06072
Kazakhstan,KAZ,2010,
Kazakhstan,KAZ,2011,
Kazakhstan,KAZ,2012,
Kazakhstan,KAZ,2013,
Kazakhstan,KAZ,2014,
Kazakhstan,KAZ,2015,2.78858
Kazakhstan,KAZ,2016,2.9781
Kazakhstan,KAZ,2017,2.75082
Kazakhstan,KAZ,2018,2.61595
Kazakhstan,KAZ,2019,
Kazakhstan,KAZ,2020,
Kenya,KEN,2000,5.18673
Kenya,KEN,2001,5.20621
Kenya,KEN,2002,6.172
Kenya,KEN,2003,6.49427
Kenya,KEN,2004,6.79693
Kenya,KEN,2005,7.33565
Kenya,KEN,2006,7.04984
Kenya,KEN,2007,
Kenya,KEN,2008,
Kenya,KEN,2009,
Kenya,KEN,2010,5.50822
Kenya,KEN,2011,5.33529
Kenya,KEN,2012,5.50904
Kenya,KEN,2013,5.41138
Kenya,KEN,2014,5.28021
Kenya,KEN,2015,5.27134
Kenya,KEN,2016,5.36267
Kenya,KEN,2017,5.36668
Kenya,KEN,2018,5.30625
Kenya,KEN,2019,
Kenya,KEN,2020,
"Korea, Rep.",KOR,2000,
"Korea, Rep.",KOR,2001,
"Korea, Rep.",KOR,2002,
"Korea, Rep.",KOR,2003,
"Korea, Rep.",KOR,2004,
"Korea, Rep.",KOR,2005,
"Korea, Rep.",KOR,2006,
"Korea, Rep.",KOR,2007,
"Korea, Rep.",KOR,2008,
"Korea, Rep.",KOR,2009,
"Korea, Rep.",KOR,2010,
"Korea, Rep.",KOR,2011,
"Korea, Rep.",KOR,2012,
"Korea, Rep.",KOR,2013,
"Korea, Rep.",KOR,2014,
"Korea, Rep.",KOR,2015,
"Korea, Rep.",KOR,2016,4.3331
"Korea, Rep.",KOR,2017,
"Korea, Rep.",KOR,2018,
"Korea, Rep.",KOR,2019,
"Korea, Rep.",KOR,2020,
Kyrgyz Republic,KGZ,2000,3.50839
Kyrgyz Republic,KGZ,2001,3.85418
Kyrgyz Republic,KGZ,2002,4.44546
Kyrgyz Republic,KGZ,2003,4.47542
Kyrgyz Republic,KGZ,2004,4.62244
Kyrgyz Republic,KGZ,2005,4.87384
Kyrgyz Republic,KGZ,2006,5.54986
Kyrgyz Republic,KGZ,2007,6.467
Kyrgyz Republic,KGZ,2008,5.91319
Kyrgyz Republic,KGZ,2009,6.23268
Kyrgyz Republic,KGZ,2010,5.81883
Kyrgyz Republic,KGZ,2011,6.79062
Kyrgyz Republic,KGZ,2012,7.38423
Kyrgyz Republic,KGZ,2013,6.7802
Kyrgyz Republic,KGZ,2014,5.5316
Kyrgyz Republic,KGZ,2015,5.98551
Kyrgyz Republic,KGZ,2016,6.58615
Kyrgyz Republic,KGZ,2017,6.02619
Kyrgyz Republic,KGZ,2018,
Kyrgyz Republic,KGZ,2019,
Kyrgyz Republic,KGZ,2020,
Lebanon,LBN,2000,
Lebanon,LBN,2001,2.84148
Lebanon,LBN,2002,2.55271
Lebanon,LBN,2003,
Lebanon,LBN,2004,2.64095
Lebanon,LBN,2005,2.64619
Lebanon,LBN,2006,2.77976
Lebanon,LBN,2007,2.58357
Lebanon,LBN,2008,2.01479
Lebanon,LBN,2009,1.76571
Lebanon,LBN,2010,1.61331
Lebanon,LBN,2011,1.65252
Lebanon,LBN,2012,2.14809
Lebanon,LBN,2013,2.43245
Lebanon,LBN,2014,
Lebanon,LBN,2015,
Lebanon,LBN,2016,
Lebanon,LBN,2017,
Lebanon,LBN,2018,
Lebanon,LBN,2019,
Lebanon,LBN,2020,
Libya,LBY,2000,
Libya,LBY,2001,
Libya,LBY,2002,
Libya,LBY,2003,
Libya,LBY,2004,
Libya,LBY,2005,
Libya,LBY,2006,
Libya,LBY,2007,
Libya,LBY,2008,
Libya,LBY,2009,
Libya,LBY,2010,
Libya,LBY,2011,
Libya,LBY,2012,
Libya,LBY,2013,
Libya,LBY,2014,
Libya,LBY,2015,
Libya,LBY,2016,
Libya,LBY,2017,
Libya,LBY,2018,
Libya,LBY,2019,
Libya,LBY,2020,
Malaysia,MYS,2000,5.97161
Malaysia,MYS,2001,7.48447
Malaysia,MYS,2002,7.65793
Malaysia,MYS,2003,7.50288
Malaysia,MYS,2004,5.92389
Malaysia,MYS,2005,
Malaysia,MYS,2006,4.48576
Malaysia,MYS,2007,4.37254
Malaysia,MYS,2008,3.95852
Malaysia,MYS,2009,5.97418
Malaysia,MYS,2010,4.96645
Malaysia,MYS,2011,5.76294
Malaysia,MYS,2012,5.73903
Malaysia,MYS,2013,5.4812
Malaysia,MYS,2014,5.21264
Malaysia,MYS,2015,4.89487
Malaysia,MYS,2016,4.75191
Malaysia,MYS,2017,4.67757
Malaysia,MYS,2018,4.48126
Malaysia,MYS,2019,4.16319
Malaysia,MYS,2020,
Maldives,MDV,2000,
Maldives,MDV,2001,
Maldives,MDV,2002,5.79186
Maldives,MDV,2003,5.32407
Maldives,MDV,2004,4.6616
Maldives,MDV,2005,5.01684
Maldives,MDV,2006,4.64524
Maldives,MDV,2007,4.41788
Maldives,MDV,2008,4.47029
Maldives,MDV,2009,5.77493
Maldives,MDV,2010,4.11747
Maldives,MDV,2011,3.5066
Maldives,MDV,2012,3.76038
Maldives,MDV,2013,3.80012
Maldives,MDV,2014,3.47046
Maldives,MDV,2015,4.36655
Maldives,MDV,2016,4.09971
Maldives,MDV,2017,
Maldives,MDV,2018,
Maldives,MDV,2019,
Maldives,MDV,2020,
Mexico,MEX,2000,3.99244
Mexico,MEX,2001,4.24104
Mexico,MEX,2002,4.45496
Mexico,MEX,2003,5.07258
Mexico,MEX,2004,4.72671
Mexico,MEX,2005,4.84569
Mexico,MEX,2006,4.69992
Mexico,MEX,2007,4.69051
Mexico,MEX,2008,4.82007
Mexico,MEX,2009,5.18794
Mexico,MEX,2010,5.15922
Mexico,MEX,2011,5.10565
Mexico,MEX,2012,5.1031
Mexico,MEX,2013,4.69605
Mexico,MEX,2014,5.26062
Mexico,MEX,2015,5.23524
Mexico,MEX,2016,4.90949
Mexico,MEX,2017,4.52282
Mexico,MEX,2018,
Mexico,MEX,2019,
Mexico,MEX,2020,
Mongolia,MNG,2000,5.55037
Mongolia,MNG,2001,
Mongolia,MNG,2002,7.21078
Mongolia,MNG,2003,
Mongolia,MNG,2004,4.32573
Mongolia,MNG,2005,
Mongolia,MNG,2006,
Mongolia,MNG,2007,4.69013
Mongolia,MNG,2008,
Mongolia,MNG,2009,5.14485
Mongolia,MNG,2010,4.6451
Mongolia,MNG,2011,4.60903
Mongolia,MNG,2012,5.19521
Mongolia,MNG,2013,4.94077
Mongolia,MNG,2014,4.71485
Mongolia,MNG,2015,4.17699
Mongolia,MNG,2016,5.18061
Mongolia,MNG,2017,4.08859
Mongolia,MNG,2018,
Mongolia,MNG,2019,
Mongolia,MNG,2020,
Morocco,MAR,2000,
Morocco,MAR,2001,
Morocco,MAR,2002,
Morocco,MAR,2003,
Morocco,MAR,2004,
Morocco,MAR,2005,
Morocco,MAR,2006,
Morocco,MAR,2007,
Morocco,MAR,2008,5.34215
Morocco,MAR,2009,5.26064
Morocco,MAR,2010,
Morocco,MAR,2011,
Morocco,MAR,2012,
Morocco,MAR,2013,
Morocco,MAR,2014,
Morocco,MAR,2015,
Morocco,MAR,2016,
Morocco,MAR,2017,
Morocco,MAR,2018,
Morocco,MAR,2019,
Morocco,MAR,2020,
Myanmar,MMR,2000,
Myanmar,MMR,2001,
Myanmar,MMR,2002,
Myanmar,MMR,2003,
Myanmar,MMR,2004,
Myanmar,MMR,2005,
Myanmar,MMR,2006,
Myanmar,MMR,2007,
Myanmar,MMR,2008,
Myanmar,MMR,2009,
Myanmar,MMR,2010,
Myanmar,MMR,2011,0.78744
Myanmar,MMR,2012,
Myanmar,MMR,2013,
Myanmar,MMR,2014,
Myanmar,MMR,2015,
Myanmar,MMR,2016,
Myanmar,MMR,2017,2.08768
Myanmar,MMR,2018,1.92289
Myanmar,MMR,2019,1.93208
Myanmar,MMR,2020,
Netherlands,NLD,2000,4.58512
Netherlands,NLD,2001,4.69965
Netherlands,NLD,2002,4.8059
Netherlands,NLD,2003,5.04042
Netherlands,NLD,2004,5.06297
Netherlands,NLD,2005,5.1094
Netherlands,NLD,2006,5.04402
Netherlands,NLD,2007,4.88683
Netherlands,NLD,2008,5.02905
Netherlands,NLD,2009,5.43156
Netherlands,NLD,2010,5.48909
Netherlands,NLD,2011,5.46304
Netherlands,NLD,2012,5.41022
Netherlands,NLD,2013,5.52656
Netherlands,NLD,2014,5.4589
Netherlands,NLD,2015,5.34816
Netherlands,NLD,2016,5.4796
Netherlands,NLD,2017,5.1751
Netherlands,NLD,2018,
Netherlands,NLD,2019,
Netherlands,NLD,2020,
New Zealand,NZL,2000,
New Zealand,NZL,2001,6.56049
New Zealand,NZL,2002,6.40699
New Zealand,NZL,2003,6.43753
New Zealand,NZL,2004,6.51203
New Zealand,NZL,2005,6.27896
New Zealand,NZL,2006,5.95276
New Zealand,NZL,2007,5.91594
New Zealand,NZL,2008,5.50617
New Zealand,NZL,2009,6.28067
New Zealand,NZL,2010,7.00129
New Zealand,NZL,2011,6.93488
New Zealand,NZL,2012,7.15063
New Zealand,NZL,2013,6.69998
