Country,ISO3,Year,Health_Expenditure,Education_Expenditure,Dependency_Ratio,Dependency_Ratio_Old,Dependency_Ratio_Young,Life_Expectancy,Mortality_Rate,average_schooling,test_scores,GDP_percapita,Population,income_level,log_GDP_percapita
Argentina,ARG,2013,9.78097916,5.43661022186279,56.0487044709811,16.8020097973001,39.246694673681,75.829,10.9,10.89,,12963.675773326,42582455,Upper middle income,9.469906554177475
Argentina,ARG,2014,9.67129993,5.36144018173218,56.0256427923844,16.9976536718042,39.0279891205802,76.268,10.4,10.91,,12233.1444119186,43024071,Upper middle income,9.411904302087889
Argentina,ARG,2015,10.22933674,5.77611017227173,56.0522891497333,17.2149420931919,38.8373470565414,76.6,10.0,10.92,,13679.6264980954,43477012,Upper middle income,9.52366288803301
Argentina,ARG,2016,9.85558891,5.54548978805542,56.0461721346243,17.428506034874,38.6176660997503,76.105,9.7,10.93,,12699.9623137756,43900313,Upper middle income,9.449354305023036
Argentina,ARG,2017,10.23174763,5.45431995391846,55.9728015245357,17.6360406247971,38.3367608997386,76.543,9.4,11.015,424.0,14532.5009308511,44288894,Upper middle income,9.584142863628564
Argentina,ARG,2018,10.29146862,4.87773990631104,55.8529254060554,17.8664360458422,37.9864893602132,76.77,9.2,11.1,424.0808,11752.7998922979,44654882,Upper middle income,9.371846779892264
Argentina,ARG,2019,10.1555109,4.7716498374939,55.5931801951266,18.0994378665041,37.4937423286225,76.847,8.9,11.12,,9955.97478680428,44973465,Upper middle income,9.205928131021869
Argentina,ARG,2020,10.45030594,5.27689981460571,55.0207968902513,18.2822768577117,36.7385200325396,75.878,8.7,11.14,408.17264,8535.59938004389,45191965,Upper middle income,9.052000858895653
Argentina,ARG,2021,10.03832245,4.64117002487183,54.2195244410156,18.3808404939187,35.8386839470968,73.948,8.5,11.184582,,10738.0179223384,45312281,Upper middle income,9.281545800038526
Argentina,ARG,2022,9.86305332,4.80521011352539,53.3385463867822,18.4528820822776,34.8856643045046,75.806,8.3,11.184582,,13935.6811110049,45407904,Upper middle income,9.5422078164399
Argentina,ARG,2023,,,52.4243366823125,18.600375437612,33.8239612447006,,,,,,45538401,Upper middle income,
Argentina,ARG,2024,,,51.5609570038159,18.8178147185688,32.7431422852471,,,,,,45696159,Upper middle income,
Argentina,ARG,2025,,,50.7162339547915,19.042142805536,31.6740911492555,,,,,,45851378,Upper middle income,
Argentina,ARG,2026,,,49.8602585107608,19.2571802074777,30.6030783032831,,,,,,46003734,Upper middle income,
Argentina,ARG,2027,,,49.075084344871,19.4760262632221,29.5990580816489,,,,,,46153342,Upper middle income,
Argentina,ARG,2028,,,48.3257114757144,19.6955795361532,28.6301319395612,,,,,,46299946,Upper middle income,
Argentina,ARG,2029,,,47.5006681295913,19.8941631913077,27.6065049382836,,,,,,46443764,Upper middle income,
Argentina,ARG,2030,,,46.6426313678592,20.0665952713448,26.5760360965144,,,,,,46585022,Upper middle income,
Argentina,ARG,2031,,,45.8712738988723,20.2290576570051,25.6422162418672,,,,,,46723736,Upper middle income,
Argentina,ARG,2032,,,45.2389968775704,20.4070310238868,24.8319658536836,,,,,,46859877,Upper middle income,
Argentina,ARG,2033,,,44.7615488369947,20.6177913819014,24.1437574550932,,,,,,46993516,Upper middle income,
Argentina,ARG,2034,,,44.5259249865478,20.8812258127536,23.6446991737943,,,,,,47124535,Upper middle income,
Argentina,ARG,2035,,,44.6605133997741,21.2186250710184,23.4418883287557,,,,,,47251994,Upper middle income,
Argentina,ARG,2036,,,45.0479228531618,21.6194878003005,23.4284350528613,,,,,,47375365,Upper middle income,
Argentina,ARG,2037,,,45.5644259996581,22.0699207415853,23.4945052580728,,,,,,47494512,Upper middle income,
Argentina,ARG,2038,,,46.1846327940986,22.5683995549807,23.6162332391179,,,,,,47608787,Upper middle income,
Argentina,ARG,2039,,,46.8374848252188,23.1129003718879,23.7245844533309,,,,,,47716823,Upper middle income,
Argentina,ARG,2040,,,47.5339512951077,23.7057515960029,23.8281996991048,,,,,,47817645,Upper middle income,
Argentina,ARG,2041,,,48.2708138983299,24.3460276090935,23.9247862892364,,,,,,47910498,Upper middle income,
Argentina,ARG,2042,,,49.048093231557,25.0360885179927,24.0120047135643,,,,,,47994507,Upper middle income,
Argentina,ARG,2043,,,49.8514736064629,25.7627835431964,24.0886900632665,,,,,,48069561,Upper middle income,
Argentina,ARG,2044,,,50.6562701052789,26.5069561839347,24.1493139213442,,,,,,48135529,Upper middle income,
Argentina,ARG,2045,,,51.4428695350822,27.2554980869087,24.1873714481734,,,,,,48191841,Upper middle income,
Argentina,ARG,2046,,,52.1976277798267,27.99865918292,24.1989685969067,,,,,,48237678,Upper middle income,
Argentina,ARG,2047,,,52.9139306902626,28.7325109562861,24.1814197339764,,,,,,48272492,Upper middle income,
Argentina,ARG,2048,,,53.5864366229548,29.4539136312723,24.1325229916826,,,,,,48296026,Upper middle income,
Argentina,ARG,2049,,,54.2252147218287,30.1704701253234,24.0547445965053,,,,,,48308274,Upper middle income,
Argentina,ARG,2050,,,54.8344632447128,30.8835834125364,23.9508798321764,,,,,,48308944,Upper middle income,
Armenia,ARM,2000,4.19581175,2.77273011207581,54.813388611356,14.1601550296688,40.6532335816871,72.8804878048781,27.8,10.4919405,,593.450581742282,3221100,Upper middle income,6.385953944773804
Armenia,ARM,2001,4.64563894,2.46943998336792,52.4889483731996,14.5669248346944,37.9220235385051,72.9756097560976,26.4,10.49,,659.588988535629,3211800,Upper middle income,6.491616896391499
Armenia,ARM,2002,7.61358786,2.13504004478455,51.0703531395798,15.1157224022065,35.9546307373733,72.8268292682927,25.0,10.559999,,742.651118319819,3199800,Upper middle income,6.610226376324834
Armenia,ARM,2003,7.17936182,2.1450400352478,50.0136226039065,15.6446414144128,34.3689811894937,72.8268292682927,23.7,10.63,,882.030167695474,3182500,Upper middle income,6.782226259158222
Armenia,ARM,2004,6.05510139,2.48673009872437,48.9919306433595,16.1035943261704,32.8883363171891,73.0268292682927,22.5,10.7,,1130.08791444158,3164900,Upper middle income,7.0300507090708715
Armenia,ARM,2005,5.8618803,2.71202993392944,47.8193074702708,16.4324533577882,31.3868541124825,73.0756097560976,21.3,10.7699995,,1557.48458908655,3146400,Upper middle income,7.350827355965176
Armenia,ARM,2006,5.85007095,2.71577000617981,46.4862231466127,16.5581288587837,29.928094287829,72.8243902439025,20.1,10.84,,2041.65267068997,3127100,Upper middle income,7.621514891549062
Armenia,ARM,2007,5.49814034,3.01893997192383,45.1305540220802,16.4184771795511,28.7120768425291,72.8731707317073,19.1,10.91,,2962.70234594569,3107400,Upper middle income,7.993857085539807
Armenia,ARM,2008,6.63976622,3.17272996902466,44.0261431322025,16.0632649243199,27.9628782078826,73.0731707317073,18.1,10.98,,3777.66859313767,3087100,Upper middle income,8.236862324027914
Armenia,ARM,2009,8.44377708,3.84079003334045,43.2941291937252,15.6399045640536,27.6542246296716,73.0731707317073,17.2,11.049999,,2820.5926553347,3066000,Upper middle income,7.944702303317538
Armenia,ARM,2010,9.23538303,3.24900007247925,42.9172236658305,15.3275061207324,27.5897175450982,73.1731707317073,16.4,11.12,,3041.34450723339,3044800,Upper middle income,8.020054968743029
Armenia,ARM,2011,9.37588882,3.14385008811951,42.8588952887091,15.2071899840717,27.6517053046373,73.8170731707317,15.6,11.19,,3349.55309771906,3027900,Upper middle income,8.1165822122541
Armenia,ARM,2012,9.13455009,2.77248001098633,43.1066653605776,15.2554042984527,27.8512610621249,74.119512195122,14.8,11.285,,3511.56399687426,3024100,Upper middle income,8.163816800372278
Armenia,ARM,2013,10.32345009,2.65018010139465,43.5955735295585,15.3767531899183,28.2188203396402,74.6219512195122,14.1,11.38,,3680.16692158886,3022000,Upper middle income,8.21071338926169
Armenia,ARM,2014,10.17827892,2.24724006652832,44.220347328995,15.542233190204,28.6781141387909,74.8731707317073,13.4,11.474999,,3852.11800610384,3013800,Upper middle income,8.256378407470539
Armenia,ARM,2015,10.11762714,2.80591011047363,45.0074829961521,15.8403518094083,29.1671311867438,74.8707317073171,12.8,11.57,,3512.39350276709,3004600,Upper middle income,8.164052993685441
Armenia,ARM,2016,9.95194912,2.75812005996704,45.9130890185114,16.2618213310109,29.6512676875004,74.8682926829268,12.2,11.68974,,3524.42476874707,2992300,Upper middle income,8.167472515759012
Armenia,ARM,2017,10.36270332,2.70759010314941,46.8188831337656,16.7625534481544,30.0563296856113,75.2170731707317,11.7,11.19,443.0,3869.05373867752,2979400,Upper middle income,8.26076524415627
Armenia,ARM,2018,10.00543404,2.25586795806885,47.4127303230816,17.2645182175621,30.1482121055195,75.619512195122,11.2,11.236667,442.96945,4196.00562301769,2969000,Upper middle income,8.341888309605302
Armenia,ARM,2019,11.3798008,2.57191228866577,47.8107543362811,17.8042980623195,30.0064562739616,76.2219512195122,10.7,11.283333,,4597.22887399548,2962500,Upper middle income,8.433208982253502
Armenia,ARM,2020,12.24056244,2.70555996894836,48.1754870679756,18.2897095679418,29.8857775000338,73.3756097560976,10.2,11.33,442.96945,4268.68093304583,2961500,Upper middle income,8.359060143521052
Armenia,ARM,2021,12.32268524,2.76784992218018,48.4759951441955,18.7082798282625,29.767715315933,72.2780487804878,9.7,11.344978,,4685.17997128509,2962300,Upper middle income,8.452159608296522
Armenia,ARM,2022,9.96212864,2.4918999671936,48.7601980797249,19.2126210693179,29.547577010407,74.7658536585366,9.3,11.344978,,6571.97445545099,2969200,Upper middle income,8.790569592273615
Armenia,ARM,2023,,,48.7129752599084,19.6465374462569,29.0664378136515,,,,,,2990900,Upper middle income,
Armenia,ARM,2024,,,49.1198580965472,20.4335749113731,28.6862831851741,,,,,,2969294,Upper middle income,
Armenia,ARM,2025,,,50.2187503503981,21.6958860459498,28.5228643044483,,,,,,2947373,Upper middle income,
Armenia,ARM,2026,,,51.2271734776935,22.9547668574529,28.2724066202406,,,,,,2926208,Upper middle income,
Armenia,ARM,2027,,,52.0695753174524,24.1324013373027,27.9371739801497,,,,,,2906521,Upper middle income,
Armenia,ARM,2028,,,52.7281220918821,25.1965550425541,27.531567049328,,,,,,2886841,Upper middle income,
Armenia,ARM,2029,,,53.2148699862271,26.1366351143276,27.0782348718996,,,,,,2866759,Upper middle income,
Armenia,ARM,2030,,,53.5255046546379,26.9275507216131,26.5979539330248,,,,,,2846958,Upper middle income,
Armenia,ARM,2031,,,53.6867243782523,27.5796252443609,26.1070991338913,,,,,,2827054,Upper middle income,
Armenia,ARM,2032,,,53.7549162525752,28.1245242557032,25.630391996872,,,,,,2807697,Upper middle income,
Armenia,ARM,2033,,,53.777584849837,28.5937042366865,25.1838806131505,,,,,,2787982,Upper middle income,
Armenia,ARM,2034,,,53.785716587028,29.010495418878,24.77522116815,,,,,,2768472,Upper middle income,
Armenia,ARM,2035,,,53.8169194901074,29.3929775038811,24.4239419862263,,,,,,2748534,Upper middle income,
Armenia,ARM,2036,,,53.898504661513,29.7541680671132,24.1443365943999,,,,,,2728995,Upper middle income,
Armenia,ARM,2037,,,53.9416392637925,30.0766522967282,23.8649869670643,,,,,,2709613,Upper middle income,
Armenia,ARM,2038,,,53.9281881237285,30.3641510427036,23.5640370810249,,,,,,2690597,Upper middle income,
Armenia,ARM,2039,,,53.9276789295808,30.6476413985163,23.2800375310646,,,,,,2670793,Upper middle income,
Armenia,ARM,2040,,,53.9934231847258,30.9605727939152,23.0328503908106,,,,,,2651467,Upper middle income,
Armenia,ARM,2041,,,54.1939066089244,31.333147471122,22.8607591378024,,,,,,2632642,Upper middle income,
Armenia,ARM,2042,,,54.5432346653044,31.7824218602187,22.7608128050857,,,,,,2613833,Upper middle income,
Armenia,ARM,2043,,,55.0598292640672,32.3283530374627,22.7314762266045,,,,,,2595594,Upper middle income,
Armenia,ARM,2044,,,55.7511100371523,32.9822092004712,22.7689008366811,,,,,,2578226,Upper middle income,
Armenia,ARM,2045,,,56.6126749969731,33.7496040515766,22.8630709453964,,,,,,2561109,Upper middle income,
Armenia,ARM,2046,,,57.6283388483873,34.6249567087364,23.003382139651,,,,,,2544227,Upper middle income,
Armenia,ARM,2047,,,58.7624650451116,35.5843904596081,23.1780745855035,,,,,,2527581,Upper middle income,
Armenia,ARM,2048,,,59.9995922278631,36.6220156176728,23.3775766101902,,,,,,2511200,Upper middle income,
Armenia,ARM,2049,,,61.3527366697449,37.7546995082557,23.5980371614893,,,,,,2495049,Upper middle income,
Armenia,ARM,2050,,,62.8344873153924,38.9967121034788,23.8377752119137,,,,,,2479243,Upper middle income,
Australia,AUS,2000,7.58869076,4.75933980941772,49.4598371499961,18.4404914467146,31.0193457032815,79.2341463414634,5.1,11.285493,,21870.4159669594,19028802,High income,9.992890133469789
Australia,AUS,2001,7.67391729,5.22261571884155,49.286835461901,18.5772011959242,30.7096342659768,79.6341463414634,5.0,11.3416195,,19695.7297379144,19274701,High income,9.88815712665637
Australia,AUS,2002,7.87221003,5.30569648742676,49.0739278664306,18.7127323974033,30.3611954690273,79.9365853658537,4.9,11.397747,,20301.8431713256,19495210,High income,9.91846695752514
Australia,AUS,2003,7.87659502,5.24525785446167,48.8445617344122,18.8398708904641,30.0046908439481,80.2390243902439,4.9,11.453874,,23718.1338501868,19720737,High income,10.073995175909896
Australia,AUS,2004,8.08257675,5.19307231903076,48.6497650677502,18.9836966228745,29.6660684448757,80.490243902439,4.8,11.51,,30836.7306824685,19932722,High income,10.33646181305884
Australia,AUS,2005,7.9648633,5.27187633514404,48.4752997933678,19.1310333967163,29.3442663966515,80.8414634146341,4.8,11.55,,34479.7679298388,20176844,High income,10.448127994181858
Australia,AUS,2006,7.97161102,5.16309022903442,48.3296763998251,19.2717494706077,29.0579269292174,81.0414634146342,4.7,11.64,,36595.7071548423,20450966,High income,10.507686221659045
Australia,AUS,2007,8.0517149,4.96966886520386,48.2183232721235,19.3981662950467,28.8201569770768,81.2926829268293,4.5,11.71,,41051.6120652288,20827622,High income,10.622585384882429
Australia,AUS,2008,8.24737453,4.9018235206604,48.1253903251165,19.5189082391702,28.6064820859462,81.3951219512195,4.4,11.94,,49701.2817843335,21249199,High income,10.813786002181399
Australia,AUS,2009,8.54235363,5.39640665054321,48.1482571709664,19.7257997705892,28.4224574003772,81.5439024390244,4.2,11.99,,42816.5674002829,21691653,High income,10.664680395462007
Australia,AUS,2010,8.41878414,6.15043640136719,48.3638611109409,20.0725746708257,28.2912864401152,81.6951219512195,4.0,12.03,536.33154,52144.6654705468,22031750,High income,10.861777163165032
Australia,AUS,2011,8.53360462,6.00601577758789,48.7682383229883,20.5282558448571,28.2399824781311,81.8951219512195,3.8,12.12,,62605.600458306,22340024,High income,11.0446100172767
Australia,AUS,2012,8.66922569,5.55924797058105,49.3289726898378,21.0375343205585,28.2914383692793,82.0463414634146,3.6,12.3,,68072.8732340801,22733465,High income,11.128334075542075
Australia,AUS,2013,8.74458122,5.5196270942688,49.9243673123919,21.5386207048104,28.3857466075814,82.1487804878049,3.5,12.02,,68190.7010035651,23128129,High income,11.130063485613862
Australia,AUS,2014,9.82490253,5.4375524520874,50.4910608998852,22.023452328806,28.4676085710793,82.3,3.4,12.17,,62544.0873773726,23475686,High income,11.043626985086195
Australia,AUS,2015,10.17367649,5.46285820007324,51.0633010294012,22.5076119973565,28.5556890320447,82.4,3.3,12.25,,56739.0265346593,23815995,High income,10.946217551618192
Australia,AUS,2016,10.08972931,5.43038558959961,51.6034455745862,22.9691602900349,28.6342852845513,82.4487804878049,3.2,12.35,,49888.0410842736,24190907,High income,10.817536595387343
Australia,AUS,2017,10.11242294,5.32125568389893,52.0424214921712,23.3956977573784,28.6467237347927,82.5,3.2,12.32,524.0,53901.7145392154,24592588,High income,10.894917566024112
Australia,AUS,2018,10.05163097,5.40967607498169,52.4455151692804,23.8439530509551,28.6015621183253,82.7487804878049,3.2,12.46,524.26514,57196.4220783778,24963258,High income,10.954246624334179
Australia,AUS,2019,10.21285057,5.50858879089355,52.9197584315896,24.383152985158,28.5366054464316,82.9,3.2,12.56,,54972.7017885437,25334826,High income,10.91459200988416
Australia,AUS,2020,10.66040134,5.37828016281128,53.6061246381616,25.0972747499351,28.5088498882266,83.2,3.2,12.64,515.68536,51791.540179984,25649248,High income,10.854982097921177
Australia,AUS,2021,10.42525291,5.33320999145508,54.2558157593525,25.8365969160502,28.4192188433023,83.3,3.2,12.78,,60607.7788605166,25685412,High income,11.012178527854376
Australia,AUS,2022,9.92687893,5.20677661895752,54.5847729738097,26.3953997265958,28.1893732472139,83.2,3.2,12.87,,64997.0136536475,26014399,High income,11.082096604032287
Australia,AUS,2023,,,54.8330553856093,26.9162159817018,27.9168394039075,,,,,,26658948,High income,
Australia,AUS,2024,,,55.2116937913989,27.5190567493021,27.6926370420968,,,,,,26912972,High income,
Australia,AUS,2025,,,55.6968381048773,28.1702515610389,27.5265865438384,,,,,,27160742,High income,
Australia,AUS,2026,,,56.2127502136827,28.8459756703672,27.3667745433155,,,,,,27397934,High income,
Australia,AUS,2027,,,56.7268701609127,29.5246203596488,27.2022498012639,,,,,,27633180,High income,
Australia,AUS,2028,,,57.2074539207555,30.1786921223815,27.028761798374,,,,,,27864864,High income,
Australia,AUS,2029,,,57.6397573676339,30.7855894685241,26.8541678991098,,,,,,28086540,High income,
Australia,AUS,2030,,,57.9908962000934,31.3198857794372,26.6710104206561,,,,,,28307092,High income,
Australia,AUS,2031,,,58.2754039611672,31.7928516898945,26.4825522712727,,,,,,28523852,High income,
Australia,AUS,2032,,,58.5748027932881,32.2493485307865,26.3254542625015,,,,,,28734674,High income,
Australia,AUS,2033,,,58.9380196242882,32.7274485509456,26.2105710733426,,,,,,28943238,High income,
Australia,AUS,2034,,,59.3628104919686,33.237525679458,26.1252848125106,,,,,,29150418,High income,
Australia,AUS,2035,,,59.852932424999,33.7896511281665,26.0632812968325,,,,,,29359642,High income,
Australia,AUS,2036,,,60.3767047594821,34.3789887554825,25.9977160039996,,,,,,29568628,High income,
Australia,AUS,2037,,,60.8551600527633,34.9360663724697,25.9190936802937,,,,,,29770354,High income,
Australia,AUS,2038,,,61.2311849765731,35.3971731519462,25.8340118246269,,,,,,29977266,High income,
Australia,AUS,2039,,,61.5064926863455,35.7665335581452,25.7399591282003,,,,,,30177900,High income,
Australia,AUS,2040,,,61.7170109087619,36.0673048518575,25.6497060569044,,,,,,30382826,High income,
Australia,AUS,2041,,,61.8929462554125,36.3155181026158,25.5774281527967,,,,,,30591692,High income,
Australia,AUS,2042,,,62.0587383167024,36.5320399833816,25.5266983333208,,,,,,30803796,High income,
Australia,AUS,2043,,,62.2464297827142,36.7472595815834,25.4991702011308,,,,,,31013200,High income,
Australia,AUS,2044,,,62.490233558277,36.9907301226076,25.4995034356694,,,,,,31222552,High income,
Australia,AUS,2045,,,62.8123364848231,37.2825194736978,25.5298170111253,,,,,,31436170,High income,
Australia,AUS,2046,,,63.2240253541288,37.6345128318746,25.5895125222541,,,,,,31656828,High income,
Australia,AUS,2047,,,63.7256939006781,38.0524169532615,25.6732769474166,,,,,,31865958,High income,
Australia,AUS,2048,,,64.2826570858411,38.5097622169912,25.7728948688499,,,,,,32088258,High income,
Australia,AUS,2049,,,64.860022678774,38.980735292076,25.879287386698,,,,,,32299192,High income,
Australia,AUS,2050,,,65.4418408269049,39.4588348242549,25.98300600265,,,,,,32510680,High income,
Bangladesh,BGD,2000,1.80504513,2.12508010864258,68.8735107703625,5.84539079116541,63.0281199791971,62.049,59.8,4.283905,,396.670730249751,134544304,Lower middle income,5.983106541712096
Bangladesh,BGD,2001,1.77201855,2.17193007469177,67.829792240324,5.86789252454913,61.9618997157749,62.836,56.6,4.4,,394.65641001891,136805810,Lower middle income,5.978015538310382
Bangladesh,BGD,2002,1.93417108,2.01714992523193,67.1451832030454,5.91576715658698,61.2294160464584,63.591,53.6,4.48,,393.886422327628,138933658,Lower middle income,5.976062599536679
Bangladesh,BGD,2003,1.96152198,2.06939005851746,66.5127410987043,5.98364295448218,60.5290981442221,64.288,50.9,4.56,,426.74880754362,140970351,Lower middle income,6.056195567396762
Bangladesh,BGD,2004,1.99854314,1.94014000892639,65.873127608104,6.06403552107259,59.8090920870314,64.912,48.4,4.64,,455.614016909798,142902856,Lower middle income,6.12164599692461
Bangladesh,BGD,2005,2.05873919,,65.1910648619481,6.15323814564069,59.0378267163075,65.509,46.0,4.72,,480.08585075452,144715786,Lower middle income,6.173964943647739
Bangladesh,BGD,2006,2.10646582,2.13128995895386,64.524039740509,6.25483192391766,58.2692078165913,66.048,43.9,4.7999997,,490.388026533289,146405973,Lower middle income,6.19519696860878
Bangladesh,BGD,2007,2.17268491,2.20221996307373,63.9122837398699,6.3719037093988,57.5403800304711,66.458,41.9,4.88,,537.955492792911,147989278,Lower middle income,6.287775829588981
Bangladesh,BGD,2008,2.11878848,2.0545699596405,63.3356883947747,6.50584958273277,56.829838812042,67.047,40.1,4.96,,613.06204104124,149474264,Lower middle income,6.41846613969135
Bangladesh,BGD,2009,2.18321705,1.9394199848175,62.7031938906288,6.65505567963701,56.0481382109918,67.527,38.4,5.04,,679.211477428056,150873714,Lower middle income,6.520932533305562
Bangladesh,BGD,2010,2.28807664,,61.9686828582303,6.81767435451691,55.1510085037134,68.009,36.9,5.12,,757.385280361508,152201981,Lower middle income,6.629872080847246
Bangladesh,BGD,2011,2.36418128,2.13269996643066,61.0979549461299,6.9977307992859,54.1002241468439,68.499,35.4,5.2,,837.336944695647,153591076,Lower middle income,6.730226551843378
Bangladesh,BGD,2012,2.3537879,2.04667067527771,60.0398362395264,7.18427722271008,52.8555590168163,68.989,34.1,5.3,,859.680536375497,155070101,Lower middle income,6.756560850904913
Bangladesh,BGD,2013,2.29574466,1.96616005897522,58.8576060722821,7.35009257974433,51.5075134925378,69.487,32.7,5.06,,958.262989798283,156532141,Lower middle income,6.865122259919668
Bangladesh,BGD,2014,2.27915168,2.09871673583984,57.6363999788042,7.49808224678947,50.1383177320147,70.016,31.4,5.19,,1094.46199702838,157964929,Lower middle income,6.998018194595261
Bangladesh,BGD,2015,2.27217698,1.87225413322449,56.4576539922494,7.67049516937057,48.7871588228788,70.543,30.0,5.99,,1224.38647668165,159383179,Lower middle income,7.110195162156987
Bangladesh,BGD,2016,2.38938212,2.22119998931885,55.3718768318608,7.88083150095721,47.4910453309036,71.075,28.6,6.11,,1649.28380858601,160811932,Lower middle income,7.408096417262894
Bangladesh,BGD,2017,2.36720181,1.85040032863617,54.6436395397794,8.13253782885509,46.5111017109243,71.606,27.4,6.27,368.0,1811.08221668646,162186147,Lower middle income,7.501679855354567
Bangladesh,BGD,2018,2.31622243,1.65589129924774,54.3273751721014,8.42340995776793,45.9039652143335,72.122,26.3,6.39,368.31528,1965.24372731467,163523103,Lower middle income,7.583371550868579
Bangladesh,BGD,2019,2.25762248,1.68138802051544,54.1751879343991,8.73026000966038,45.4449279247387,72.625,25.4,6.55,,2129.79896954606,164913055,Lower middle income,7.663782873754545
Bangladesh,BGD,2020,2.27063942,1.76528060436249,54.0679893713504,8.99007678263529,45.0779125887151,71.421,24.9,7.1,368.31528,2248.85078828233,166298024,Lower middle income,7.718174603952346
Bangladesh,BGD,2021,2.36551309,1.83117997646332,53.9605921368888,9.19731840432484,44.763273732564,71.103,24.5,6.79,,2482.84917843357,167658854,Lower middle income,7.817162041993389
Bangladesh,BGD,2022,2.39038587,1.71183669567108,53.6222137721463,9.42496463313091,44.1972491390154,74.265,24.4,6.79,,2716.48592677835,169384897,Lower middle income,7.907094385333339
Bangladesh,BGD,2023,,,53.0958193080833,9.67649438187319,43.4193249262101,,,,,,171466990,Lower middle income,
Bangladesh,BGD,2024,,,52.6423780619832,9.91940845499206,42.7229696069912,,,,,,173562364,Lower middle income,
Bangladesh,BGD,2025,,,52.2398280353678,10.1519960710357,42.0878319643321,,,,,,175686899,Lower middle income,
Bangladesh,BGD,2026,,,51.9016299441163,10.3903412531317,41.5112886909846,,,,,,177818044,Lower middle income,
Bangladesh,BGD,2027,,,51.6303205668981,10.6360210287697,40.9942995381284,,,,,,179930175,Lower middle income,
Bangladesh,BGD,2028,,,51.4172964380076,10.8891786399881,40.5281177980195,,,,,,182014774,Lower middle income,
Bangladesh,BGD,2029,,,51.2477904724255,11.1500595390723,40.0977309333532,,,,,,184064620,Lower middle income,
Bangladesh,BGD,2030,,,51.1031307551392,11.4191934549405,39.6839373001987,,,,,,186072407,Lower middle income,
Bangladesh,BGD,2031,,,50.9668334586471,11.6978630337031,39.268970424944,,,,,,188025198,Lower middle income,
Bangladesh,BGD,2032,,,50.8282850954542,11.9878225172635,38.8404625781906,,,,,,189904568,Lower middle income,
Bangladesh,BGD,2033,,,50.6660559881304,12.2876849162808,38.3783710718497,,,,,,191717185,Lower middle income,
Bangladesh,BGD,2034,,,50.4623898517688,12.5953418210585,37.8670480307103,,,,,,193461166,Lower middle income,
Bangladesh,BGD,2035,,,50.2070221083177,12.9097050755828,37.2973170327349,,,,,,195130372,Lower middle income,
Bangladesh,BGD,2036,,,49.8824431111171,13.2286098403654,36.6538332707517,,,,,,196740575,Lower middle income,
Bangladesh,BGD,2037,,,49.4989763384975,13.5542905431715,35.9446857953261,,,,,,198288196,Lower middle income,
Bangladesh,BGD,2038,,,49.0931994125886,13.8886362461792,35.2045631664094,,,,,,199776948,Lower middle income,
